"","Latitude","Longitude","Depth","MagType","Magnitude","class","Region_Arica_Parinacota","Region_Tarapaca","Region_Antofagasta","Region_Atacama","Region_Coquimbo","Region_Valparaiso","Region_Metropolitana_Santiago","Region_Libertador_General_OHiggins","Region_Maule","Region_Nuble","Region_Biobio","Region_Araucania","Region_Rios","Region_Lagos","Region_Aysen_General_Carlos_Ibanez","Region_Magallanes_Antartica"
"6033",-31.7146,-71.992,14.2,"MW",5.1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"6034",-19.6026,-70.5778,13.6,"MS",4.3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6035",-31.9215,-71.8937,17.4,"mb",4.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"6036",-24.1368,-67.1783,177.1,"mb",4.3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"6037",-21.7349,-68.7359,117.5,"mb",4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"6038",-31.8314,-72.0051,31.1,"mb",4.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"6039",-34.7566,-71.9813,46.7,"mb",4.2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"6040",-21.5144,-66.9174,220,"mb",4.3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"6041",-23.2372,-69.8026,89.1,"MW",4.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"6042",-31.7161,-72.1784,2.6,"MW",4.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"6043",-32.2764,-72.2015,6.6,"MW",4.3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"6044",-21.5432,-66.7722,215.6,"mb",4.6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"6045",-21.229,-67.8763,160.4,"mb",4.2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6046",-37.5904,-73.4121,23,"mb",4.5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"6047",-21.8265,-68.4626,125.4,"mb",4.3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"6048",-21.7624,-68.4322,125.6,"mb",4.2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"6049",-20.4474,-68.8349,123.4,"mb",4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6050",-21.1101,-68.8777,118.8,"mb",4.1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6051",-25.7821,-70.7398,31.4,"mb",5.1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"6052",-21.5581,-66.9773,218.8,"mb",4.1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"6053",-31.6756,-72.167,4.5,"mb",4.7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"6054",-25.7069,-66.6885,35,"MW",4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"6055",-23.0746,-68.4304,127.5,"mb",4.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"6056",-22.8231,-63.8161,535,"mb",4.3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"6057",-32.8534,-70.183,107.3,"mb",4.8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"6058",-25.7858,-71.1685,35,"mb",4.6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"6059",-29.5448,-71.0813,73.2,"mb",4.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"6060",-27.7787,-66.7901,167.4,"mb",4.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"6061",-33.5724,-72.0786,11.4,"mb",4.4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"6062",-37.7605,-73.8388,11.4,"mb",4.4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"6063",-23.049,-69.7184,74.5,"mb",4.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"6064",-24.683,-70.1214,81.3,"mb",4.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"6065",-27.8777,-71.3226,28.8,"MW",4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"6066",-33.6194,-72.0292,19,"MW",4.1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"6067",-23.855,-67.445,228.1,"ML",4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"6068",-23.9076,-65.0637,10,"mb",4.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"6069",-31.7848,-67.2512,127.9,"mb",4.3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"6070",-21.2444,-70.5135,43.2,"mb",4.4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6071",-34.7852,-71.8184,48.5,"MW",4.3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"6072",-16.5751,-71.957,100,"mb",4.3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6073",-15.6516,-71.8082,126.5,"mb",4.9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6074",-15.9813,-72.0255,122.4,"MW",5.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6075",-22.582,-66.2107,251,"MW",4.2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"6076",-31.7055,-72.0063,11.9,"mb",4.2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"6077",-31.7964,-72.1423,9.8,"MW",4.2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"6078",-31.7308,-71.876,5.4,"mb",4.5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"6079",-31.6312,-71.9839,26.1,"mb",4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"6080",-31.8128,-71.9714,51.7,"MW",4.2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"6081",-31.7329,-71.7875,42,"MW",4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"6082",-20.4101,-67.9591,171.8,"MW",5.2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6083",-23.873,-66.9246,200,"mb",4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"6084",-27.478,-71.656,18,"mb",4.2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"6085",-27.4891,-69.2991,107.5,"mb",4.8,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"6086",-30.7107,-72.1675,2.5,"mb",4.6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"6087",-38.0951,-73.6876,18,"mb",4.4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"6088",-22.4738,-68.6218,112.3,"MW",4.7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"6089",-37.529,-73.1794,29.3,"MW",4.6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"6090",-32.7385,-71.4908,24.5,"mb",4.3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"6091",-31.3372,-65.001,2.2,"mb",4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"6092",-31.8301,-69.1974,117.6,"mb",4.6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"6093",-20.1809,-69.1877,97.8,"mb",4.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6094",-33.4109,-67.5717,196.4,"mb",4.1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
